year,popularity,danceability,energy,valence,language,artist_name,track_name
1971,30.666666666666668,0.46725,0.33280000000000004,0.39704999999999996,English,"Alan Silvestri, Billy Joel","Maid In Manhattan, At Last, She's Got a Way"
1972,26.80952380952381,0.5347142857142857,0.5859047619047619,0.722047619047619,English,Michael Jackson,"Ben - Single Version, Rockin' Robin, I Wanna Be Where You Are"
1973,27.06451612903226,0.5022903225806451,0.5680483870967742,0.5338887096774194,English,Aerosmith,"Dream On, Mama Kin, Walkin' The Dog"
1974,31.0,0.5229999999999999,0.56529,0.5024200000000001,English,Billy Joel,"The Entertainer, Root Beer Rag, Los Angelenos"
1975,37.36842105263158,0.4784210526315789,0.6787894736842105,0.5976315789473684,English,Aerosmith,"Sweet Emotion, Walk This Way, Toys In The Attic"
1976,39.333333333333336,0.5406666666666666,0.5116666666666667,0.5,English,"Ilaiyaraaja, Billy Joel","Bhadrakali Theme - Instrumental, New York State of Mind, Summer, Highland Falls"
1977,34.46153846153846,0.44758974358974357,0.6514358974358974,0.483476923076923,English,"Ilaiyaraaja, M. Balamuralikrishna, Ilaiyaraaja, Ilaiyaraaja, S. Janaki, G.K. Venkatesh","Chinna Kannan Azhaikkiraan - Male Version, Bhuvana Oru Kaelvikkuri Theme - Instrumental, Udhayam Varugindradhe"
1978,30.571428571428573,0.5237142857142857,0.5545,0.6317857142857143,English,"Ilaiyaraaja, Billy Joel","Adi Aatha, My Life, Big Shot"
1979,31.608695652173914,0.6197391304347826,0.6501913043478261,0.6427173913043479,English,Michael Jackson,"Rock with You - Single Version, Don't Stop 'Til You Get Enough, Off the Wall"
1980,24.55,0.5443,0.5645,0.6694,English,Ilaiyaraaja,"Climax Love Theme - Instrumental, En Inia, Chasing Music"
1981,14.135135135135135,0.48529729729729726,0.49541621621621623,0.5721891891891892,Tamil,"Ilaiyaraaja, S. Janaki, Ilaiyaraaja, Vani Jairam, Ilaiyaraaja, P. Jayachandran, S. Janaki","Ponnoviyam, Alalu Kalalu, Thaalattudhe Vaanam"
1982,12.560975609756097,0.5806341463414635,0.46780853658536586,0.690719512195122,Tamil,Michael Jackson,"Billie Jean, P.Y.T. (Pretty Young Thing), Beat It"
1983,12.625,0.5892499999999999,0.5578619318181818,0.7120795454545454,Tamil,Billy Joel,"Uptown Girl, The Longest Time, Tell Her About It"
1984,8.699530516431924,0.5644882629107981,0.5389948356807511,0.7209859154929578,Tamil,"Billy Joel, Ray Charles, Ilaiyaraaja, S. P. Balasubrahmanyam, S. Janaki, Ilaiyaraaja, Uma Ramanan","Baby Grand (with Ray Charles), Adiye Manam Nilluna, Megam Karukayilae"
1985,12.6640625,0.6128828125,0.56069140625,0.71694140625,Tamil,"Ilaiyaraaja, S. Janaki, Ilaiyaraaja, K. S. Chithra, Ilaiyaraaja, K. J. Yesudas, S. Janaki","Poo Maalayae, Antha Nilava Thaan, Thendral Vandhu"
1986,11.123076923076923,0.6346615384615385,0.527033076923077,0.6842173076923077,Tamil,"Kamal Haasan, Kamal Haasan, Mano, Kamal Haasan, Bhavatharini","Vikram Vikram, Lucku Meeda Lucku Vachchi, Madona, Pt. 1"
